"state","statename","place","placename"
"01","Alabama","57000","Oneonta city"
"01","Alabama","57024","Onycha town"
"01","Alabama","57048","Opelika city"
"01","Alabama","57120","Opp city"
"01","Alabama","57144","Orange Beach city"
"01","Alabama","57240","Orrville town"
"01","Alabama","57384","Our Town CDP"
"01","Alabama","57504","Owens Cross Roads town"
"01","Alabama","57576","Oxford city"
"01","Alabama","57648","Ozark city"
"01","Alabama","57696","Paint Rock town"
"01","Alabama","57912","Panola CDP"
"01","Alabama","58272","Parrish town"
"01","Alabama","58848","Pelham city"
"01","Alabama","58896","Pell City city"
"01","Alabama","58968","Pennington town"
"01","Alabama","59016","Penton CDP"
"01","Alabama","59088","Perdido Beach town"
"01","Alabama","59232","Peterman CDP"
"01","Alabama","59328","Petrey town"
"01","Alabama","59472","Phenix City city"
"01","Alabama","59496","Phil Campbell town"
"01","Alabama","59592","Pickensville town"
"01","Alabama","59640","Piedmont city"
"01","Alabama","59760","Pike Road town"
"01","Alabama","59832","Pinckard town"
"01","Alabama","59880","Pine Apple town"
"01","Alabama","60240","Pine Hill town"
"01","Alabama","60264","Pine Level CDP"
"01","Alabama","60372","Pine Ridge town"
"01","Alabama","60648","Pinson city"
"01","Alabama","60720","Pisgah town"
"01","Alabama","61008","Pleasant Grove city"
"01","Alabama","61038","Pleasant Groves town"
"01","Alabama","61488","Point Clear CDP"
"01","Alabama","61536","Pollard town"
"01","Alabama","62075","Powell town"
"01","Alabama","62328","Prattville city"
"01","Alabama","62472","Priceville town"
"01","Alabama","62496","Prichard city"
"01","Alabama","62688","Providence town"
"01","Alabama","62952","Putnam CDP"
"01","Alabama","63216","Ragland town"
"01","Alabama","63288","Rainbow City city"
"01","Alabama","63336","Rainsville city"
"01","Alabama","63408","Ranburne town"
"01","Alabama","63495","Ray CDP"
"01","Alabama","63576","Red Bay city"
"01","Alabama","63730","Redland CDP"
"01","Alabama","63768","Red Level town"
"01","Alabama","63912","Redstone Arsenal CDP"
"01","Alabama","63984","Reece City town"
"01","Alabama","64040","Reeltown CDP"
"01","Alabama","64104","Reform town"
"01","Alabama","64152","Rehobeth town"
"01","Alabama","64368","Repton town"
"01","Alabama","64656","Ridgeville town"
"01","Alabama","64776","River Falls town"
"01","Alabama","64920","Riverside town"
"01","Alabama","65016","Riverview town"
"01","Alabama","65040","Roanoke city"
"01","Alabama","65208","Robertsdale city"
"01","Alabama","65412","Rock Creek CDP"
"01","Alabama","65472","Rockford town"
"01","Alabama","65592","Rock Mills CDP"
"01","Alabama","65784","Rockville CDP"
"01","Alabama","66216","Rogersville town"
"01","Alabama","66408","Rosa town"
"01","Alabama","67056","Russellville city"
"01","Alabama","67176","Rutledge town"
"01","Alabama","67536","St. Florian town"
"01","Alabama","67584","St. Stephens CDP"
"01","Alabama","67608","Saks CDP"
"01","Alabama","67800","Samson city"
"01","Alabama","67920","Sand Rock town"
"01","Alabama","68016","Sanford town"
"01","Alabama","68160","Saraland city"
"01","Alabama","68280","Sardis City town"
"01","Alabama","68352","Satsuma city"
"01","Alabama","68736","Scottsboro city"
"01","Alabama","69000","Section town"
"01","Alabama","69120","Selma city"
"01","Alabama","69180","Selmont-West Selmont CDP"
"01","Alabama","69648","Sheffield city"
"01","Alabama","69672","Shelby CDP"
"01","Alabama","69840","Shiloh town"
"01","Alabama","69978","Shoal Creek CDP"
"01","Alabama","70128","Shorter town"
"01","Alabama","70416","Silas town"
"01","Alabama","70536","Silverhill town"
"01","Alabama","70632","Sims Chapel CDP"
"01","Alabama","70704","Sipsey town"
"01","Alabama","70896","Skyline town"
"01","Alabama","71040","Slocomb city"
"01","Alabama","71190","Smiths Station city"
"01","Alabama","71201","Smoke Rise CDP"
"01","Alabama","71280","Snead town"
"01","Alabama","71496","Somerville town"
"01","Alabama","71832","Southside city"
"01","Alabama","71900","South Vinemont town"
"01","Alabama","71976","Spanish Fort city"
"01","Alabama","72408","Spring Garden CDP"
"01","Alabama","72600","Springville city"
"01","Alabama","72672","Spruce Pine CDP"
"01","Alabama","72720","Standing Rock CDP"
"01","Alabama","72888","Steele town"
"01","Alabama","73056","Sterrett CDP"
"01","Alabama","73080","Stevenson city"
"01","Alabama","73152","Stewartville CDP"
"01","Alabama","73728","Sulligent city"
"01","Alabama","73848","Sumiton city"
"01","Alabama","73872","Summerdale town"
"01","Alabama","74160","Susan Moore town"
"01","Alabama","74304","Sweet Water town"
"01","Alabama","74352","Sylacauga city"
"01","Alabama","74400","Sylvania town"
"01","Alabama","74424","Sylvan Springs town"
"01","Alabama","74592","Talladega city"
"01","Alabama","74616","Talladega Springs town"
"01","Alabama","74688","Tallassee city"
"01","Alabama","74976","Tarrant city"
"01","Alabama","75096","Taylor town"
"01","Alabama","75768","Theodore CDP"
"01","Alabama","75936","Thomaston town"
"01","Alabama","75960","Thomasville city"
"01","Alabama","76080","Thorsby town"
"01","Alabama","76200","Tibbie CDP"
"01","Alabama","76208","Tidmore Bend CDP"
"01","Alabama","76320","Tillmans Corner CDP"
"01","Alabama","76584","Town Creek town"
"01","Alabama","76632","Toxey town"
"01","Alabama","76680","Trafford town"
"01","Alabama","76824","Triana town"
"01","Alabama","76872","Trinity town"
"01","Alabama","76920","Troy city"
"01","Alabama","76944","Trussville city"
"01","Alabama","77256","Tuscaloosa city"
"01","Alabama","77280","Tuscumbia city"
"01","Alabama","77304","Tuskegee city"
"01","Alabama","77352","Twin town"
"01","Alabama","77580","Underwood-Petersville CDP"
"01","Alabama","77616","Union town"
"01","Alabama","77784","Union Grove town"
"01","Alabama","77880","Union Springs city"
"01","Alabama","77904","Uniontown town"
"01","Alabama","78120","Uriah CDP"
"01","Alabama","78204","Valley city"
"01","Alabama","78232","Valley Grande city"
"01","Alabama","78240","Valley Head town"
"01","Alabama","78264","Vance town"
"01","Alabama","78312","Vandiver CDP"
"01","Alabama","78480","Vernon city"
"01","Alabama","78552","Vestavia Hills city"
"01","Alabama","78984","Vina town"
"01","Alabama","79008","Vincent town"
"01","Alabama","79032","Vinegar Bend CDP"
"01","Alabama","79272","Vredenburgh town"
"01","Alabama","79344","Wadley town"
"01","Alabama","79488","Waldo town"
"01","Alabama","79728","Walnut Grove town"
"01","Alabama","79944","Warrior city"
"01","Alabama","80064","Waterloo town"
"01","Alabama","80256","Waverly town"
"01","Alabama","80352","Weaver city"
"01","Alabama","80376","Webb town"
"01","Alabama","80496","Wedowee town"
"01","Alabama","80736","Weogufka CDP"
"01","Alabama","80928","West Blocton town"
"01","Alabama","81084","West End-Cobb Town CDP"
"01","Alabama","81336","West Jefferson town"
"01","Alabama","81504","Westover town"
"01","Alabama","81528","West Point town"
"01","Alabama","81720","Wetumpka city"
"01","Alabama","81744","Whatley CDP"
"01","Alabama","81912","White Hall town"
"01","Alabama","82104","White Plains CDP"
"01","Alabama","82176","Whitesboro CDP"
"01","Alabama","82848","Wilsonville town"
"01","Alabama","82872","Wilton town"
"01","Alabama","82992","Winfield city"
"01","Alabama","83400","Woodland town"
"01","Alabama","83640","Woodstock town"
"01","Alabama","83664","Woodville town"
"01","Alabama","83976","Yellow Bluff town"
"01","Alabama","84096","York city"
"02","Alaska","00065","Adak city"
"02","Alaska","00650","Akhiok city"
"02","Alaska","00760","Akiachak CDP"
"02","Alaska","00870","Akiak city"
"02","Alaska","01090","Akutan city"
"02","Alaska","01200","Alakanuk city"
"02","Alaska","01305","Alatna CDP"
"02","Alaska","01390","Alcan Border CDP"
"02","Alaska","01420","Aleknagik city"
"02","Alaska","01560","Aleneva CDP"
"02","Alaska","01860","Allakaket city"
"02","Alaska","01970","Ambler city"
"02","Alaska","02080","Anaktuvuk Pass city"
"02","Alaska","03000","Anchorage municipality"
"02","Alaska","03110","Anchor Point CDP"
"02","Alaska","03220","Anderson city"
"02","Alaska","03440","Angoon city"
"02","Alaska","03550","Aniak city"
